tool,specie,mrd,depth,batch,precision,recall,f1score
NanoMGT,staph,0.01,220,2,0.18815244407622206,0.3875,0.25304504504504505
NanoMGT,staph,0.01,220,3,0.23197115384615385,0.525,0.32116151545363913
NanoMGT,staph,0.01,220,4,0.2973317161916313,0.6875,0.41477372262773726
NanoMGT,staph,0.01,220,5,0.330529440870856,0.75,0.45865908552475715
NanoMGT,staph,0.01,220,6,0.3477411477411477,0.7875000000000001,0.48244274809160304
NanoMGT,staph,0.01,220,7,0.3638732088580113,0.875,0.5139519792342634
NanoMGT,staph,0.01,220,8,0.36475017929715514,0.8374999999999999,0.5080990396852945
NanoMGT,staph,0.01,220,9,0.3768092105263158,0.8999999999999999,0.5312091503267974
NanoMGT,staph,0.01,220,10,0.38026315789473686,0.925,0.5388888888888888
NanoMGT,campylobacter,0.01,170,1,0.2038210491209681,0.15625,0.1768296442444047
NanoMGT,campylobacter,0.01,170,2,0.34962459523894246,0.3098958333333333,0.3282308327991412
NanoMGT,campylobacter,0.01,170,3,0.4418146503884573,0.45052083333333337,0.4448744598216728
NanoMGT,campylobacter,0.01,170,4,0.49979323262545916,0.53125,0.5147346480679814
NanoMGT,campylobacter,0.01,170,5,0.5323193521594685,0.609375,0.5681877244377244
NanoMGT,campylobacter,0.01,170,6,0.5321547271052737,0.6197916666666667,0.5726218473765307
NanoMGT,campylobacter,0.01,170,7,0.5670296306014206,0.6822916666666666,0.6193321223976527
NanoMGT,campylobacter,0.01,170,8,0.573956442831216,0.6875,0.6256064690026955
NanoMGT,campylobacter,0.01,170,9,0.5720442410373761,0.6822916666666667,0.6223200180546153
NanoMGT,campylobacter,0.01,170,10,0.5705895640388525,0.6848958333333333,0.6225210084033613
NanoMGT,klebsiella,0.01,120,1,0.05952380952380952,0.13333333333333333,0.08040935672514618
NanoMGT,klebsiella,0.01,120,2,0.11931818181818182,0.26666666666666666,0.16166883963494133
NanoMGT,klebsiella,0.01,120,3,0.22202797202797203,0.4666666666666667,0.2968168664737495
NanoMGT,klebsiella,0.01,120,4,0.24523809523809526,0.5333333333333333,0.3325581395348837
NanoMGT,klebsiella,0.01,120,5,0.27211394302848574,0.6000000000000001,0.3710879284649776
NanoMGT,klebsiella,0.01,120,6,0.3100303951367781,0.7,0.4242310577644411
NanoMGT,klebsiella,0.01,120,7,0.28918918918918923,0.7666666666666666,0.4192307692307693
NanoMGT,klebsiella,0.01,120,8,0.3099472990777339,0.7666666666666666,0.439207650273224
NanoMGT,klebsiella,0.01,120,9,0.32535460992907805,0.8666666666666667,0.4715370018975332
NanoMGT,klebsiella,0.01,120,10,0.3084795321637427,0.8333333333333333,0.449685534591195
NanoMGT,campylobacter,0.01,120,1,0.13624688667496887,0.109375,0.12112490352456906
NanoMGT,campylobacter,0.01,120,2,0.30177400119260583,0.2838541666666667,0.292266519010705
NanoMGT,campylobacter,0.01,120,3,0.3953467998297915,0.4088541666666667,0.40186830713146504
NanoMGT,campylobacter,0.01,120,4,0.43663464866735896,0.48958333333333337,0.4615932579928524
NanoMGT,campylobacter,0.01,120,5,0.4846541456710948,0.5755208333333333,0.5260734118921848
NanoMGT,campylobacter,0.01,120,6,0.5075853018372704,0.6302083333333333,0.5617801722747362
NanoMGT,campylobacter,0.01,120,7,0.5331211962567894,0.6848958333333333,0.5992343079760449
NanoMGT,campylobacter,0.01,120,8,0.531399300595971,0.6822916666666667,0.5972246016789446
NanoMGT,campylobacter,0.01,120,9,0.5332995951417003,0.703125,0.6064517104440905
NanoMGT,campylobacter,0.01,120,10,0.5472585600709512,0.7161458333333333,0.6201483350459349
NanoMGT,ecoli,0.01,170,1,0.06438287450945679,0.14634146341463417,0.08863381725428497
NanoMGT,ecoli,0.01,170,2,0.14016239786458015,0.3658536585365854,0.20040220540136433
NanoMGT,ecoli,0.01,170,3,0.19091801669121256,0.5365853658536585,0.2798195745589452
NanoMGT,ecoli,0.01,170,4,0.265072013910238,0.7479674796747968,0.3860426520620696
NanoMGT,ecoli,0.01,170,5,0.29896640826873383,0.7967479674796748,0.43361913209158703
NanoMGT,ecoli,0.01,170,6,0.29366747502000806,0.8861788617886179,0.43893619842345916
NanoMGT,ecoli,0.01,170,7,0.31818902491123363,0.8780487804878049,0.4651110571343751
NanoMGT,ecoli,0.01,170,8,0.3398923932345739,0.959349593495935,0.500392445425558
NanoMGT,ecoli,0.01,170,9,0.32463950166045974,0.9512195121951219,0.4799013622543034
NanoMGT,ecoli,0.01,170,10,0.3172878323620318,0.959349593495935,0.4734379605069261
NanoMGT,salmonella,0.01,170,1,0.11414881267822445,0.26666666666666666,0.1598095060333459
NanoMGT,salmonella,0.01,170,2,0.20677506775067753,0.5037037037037037,0.2925324675324675
NanoMGT,salmonella,0.01,170,3,0.2431293033026024,0.7259259259259259,0.3617104316327402
NanoMGT,salmonella,0.01,170,4,0.2703144078144078,0.7111111111111111,0.39089824754564645
NanoMGT,salmonella,0.01,170,5,0.28604885057471263,0.8074074074074075,0.41843230732404796
NanoMGT,salmonella,0.01,170,6,0.29266872973769525,0.8444444444444444,0.43112634640445613
NanoMGT,salmonella,0.01,170,7,0.29668597291810433,0.8888888888888888,0.4412075004510065
NanoMGT,salmonella,0.01,170,8,0.31071598288147123,0.8518518518518517,0.454395719886236
NanoMGT,salmonella,0.01,170,9,0.28837234082253554,0.8962962962962964,0.43617049824095155
NanoMGT,salmonella,0.01,170,10,0.29084208586696153,0.9037037037037038,0.4398382912349392
NanoMGT,klebsiella,0.01,170,1,0.05625,0.13333333333333333,0.0761904761904762
NanoMGT,klebsiella,0.01,170,2,0.16,0.33333333333333337,0.2065934065934066
NanoMGT,klebsiella,0.01,170,3,0.18896321070234112,0.4,0.25269892043182723
NanoMGT,klebsiella,0.01,170,4,0.28055555555555556,0.6,0.38169934640522873
NanoMGT,klebsiella,0.01,170,5,0.3385964912280702,0.8666666666666667,0.47777777777777786
NanoMGT,klebsiella,0.01,170,6,0.3310696095076401,0.8666666666666667,0.47101449275362317
NanoMGT,klebsiella,0.01,170,7,0.35388513513513514,0.8,0.4901800327332242
NanoMGT,klebsiella,0.01,170,8,0.3324915824915825,0.9,0.4800724637681159
NanoMGT,klebsiella,0.01,170,9,0.34375,0.9333333333333333,0.49505543901708116
NanoMGT,klebsiella,0.01,170,10,0.32844129554655865,0.9666666666666667,0.4880315404111517
NanoMGT,staph,0.01,120,1,0.13589743589743591,0.22499999999999998,0.1677777777777778
NanoMGT,staph,0.01,120,2,0.22898799313893653,0.425,0.29490824502455415
NanoMGT,staph,0.01,120,3,0.2259182259182259,0.5,0.3093500954091368
NanoMGT,staph,0.01,120,4,0.2923486867148839,0.6,0.38947556828351537
NanoMGT,staph,0.01,120,5,0.3477871148459384,0.8,0.47951873120043753
NanoMGT,staph,0.01,120,6,0.33819272125723737,0.8125,0.472405952873088
NanoMGT,staph,0.01,120,7,0.33636363636363636,0.8374999999999999,0.4769689440993789
NanoMGT,staph,0.01,120,8,0.37114404817044927,0.9375,0.5275688622754491
NanoMGT,staph,0.01,120,9,0.35901580459770116,0.925,0.5134983127109112
NanoMGT,staph,0.01,120,10,0.34942528735632183,0.95,0.5046180038306023
NanoMGT,staph,0.01,170,1,0.17598684210526316,0.35000000000000003,0.23377281947261666
NanoMGT,staph,0.01,170,2,0.2072135785007072,0.4375,0.28023276959447174
NanoMGT,staph,0.01,170,3,0.2715056664867782,0.6375,0.3796510067114094
NanoMGT,staph,0.01,170,4,0.2918442464161178,0.7250000000000001,0.4147286821705427
