tool,specie,mrd,depth,batch,precision,recall,f1score
Confindr,campylobacter,0.01,220,4,0.39252155381187637,0.7916666666666667,0.5216438356164383
Confindr,campylobacter,0.01,220,5,0.3979888189360038,0.8072916666666666,0.5298816619258353
Confindr,campylobacter,0.01,220,6,0.4005406805452132,0.8098958333333333,0.5330150436897576
Confindr,campylobacter,0.01,220,7,0.4023179238053178,0.8125,0.5351055962827314
Confindr,campylobacter,0.01,220,8,0.4013069358178054,0.8125,0.534358152072876
Confindr,campylobacter,0.01,220,9,0.40114104184900645,0.8125,0.5345604950561333
Confindr,campylobacter,0.01,220,10,0.40001094923419767,0.8125,0.53344053310155
Confindr,campylobacter,0.02,120,1,0.13990185950413223,0.09895833333333334,0.11538810630264304
Confindr,campylobacter,0.02,120,2,0.3578134284016637,0.3385416666666667,0.34741464796713417
Confindr,campylobacter,0.02,120,3,0.4798155896482257,0.5651041666666666,0.518652472589964
Confindr,campylobacter,0.02,120,4,0.5112724757952973,0.640625,0.5686853134890086
Confindr,campylobacter,0.02,120,5,0.5543348074442602,0.734375,0.6314092953523238
Confindr,campylobacter,0.02,120,6,0.5639455782312925,0.7578125,0.6461996505991487
Confindr,campylobacter,0.02,120,7,0.577222559301956,0.7890625,0.6662276258020938
Confindr,campylobacter,0.02,120,8,0.5883192789898719,0.7916666666666667,0.6741295361939365
Confindr,campylobacter,0.02,120,9,0.5898649437022344,0.8020833333333333,0.6789718175999379
Confindr,campylobacter,0.02,120,10,0.5861674109698845,0.8046875,0.6774106903035186
Confindr,campylobacter,0.02,170,1,0.18552871249161154,0.1328125,0.1538225333824639
Confindr,campylobacter,0.02,170,2,0.41036739058482063,0.41666666666666663,0.41267198489744816
Confindr,campylobacter,0.02,170,3,0.49170823169621725,0.5963541666666667,0.5388680531878622
Confindr,campylobacter,0.02,170,4,0.5362707889783702,0.7057291666666667,0.6083866382373845
Confindr,campylobacter,0.02,170,5,0.5538286302175192,0.7473958333333333,0.6354422365088641
Confindr,campylobacter,0.02,170,6,0.5654543713754241,0.7916666666666666,0.6584030396952837
