batch,mrd,dp,average_f1
2,0.02,0.32,0.23345306307292016
2,0.02,0.34,0.23095300372554226
2,0.02,0.36,0.22983439557459112
2,0.02,0.38,0.2240840937828896
2,0.02,0.4,0.22025800116273414
2,0.02,0.42,0.2150434871746347
2,0.02,0.44,0.2130630170231933
2,0.02,0.46,0.21030018878571782
2,0.02,0.48,0.20883630316631757
2,0.02,0.5,0.20993618928528765
2,0.02,0.52,0.2050085292141699
2,0.02,0.54,0.2030414646119884
2,0.02,0.56,0.19783586348562227
2,0.02,0.58,0.195938634488211
2,0.03,0.01,0.2751411485178036
2,0.03,0.02,0.2677292211800427
2,0.03,0.06,0.2535883655303697
2,0.03,0.08,0.23799757762833748
2,0.03,0.1,0.23211034230401764
2,0.03,0.12,0.22143075500835632
2,0.03,0.14,0.2021351728384366
2,0.03,0.16,0.19746899749628083
2,0.03,0.18,0.19734769815851363
2,0.03,0.2,0.19149582476265592
2,0.03,0.22,0.18480880185739293
2,0.03,0.24,0.17568104492858325
2,0.03,0.26,0.17487663501731432
2,0.03,0.28,0.17291919448532864
2,0.03,0.3,0.17168583433863865
2,0.03,0.32,0.1642574831222872
2,0.03,0.34,0.16674371205514618
2,0.03,0.36,0.1473309852888099
2,0.03,0.38,0.13979544072270816
2,0.03,0.4,0.12859982973699222
2,0.03,0.42,0.1226008423418409
2,0.03,0.44,0.12046835348362125
2,0.03,0.46,0.12046835348362125
2,0.03,0.48,0.12058039830154843
2,0.03,0.5,0.115888181141892
2,0.03,0.52,0.11183899307760854
2,0.03,0.54,0.099540288405893
2,0.03,0.56,0.099540288405893
2,0.03,0.58,0.09967067389342134
2,0.04,0.01,0.28685697989360504
2,0.04,0.02,0.28165549111956306
2,0.04,0.06,0.2589988420837764
2,0.04,0.08,0.2501093229295151
2,0.04,0.1,0.22660144809073676
2,0.04,0.12,0.2153292042705909
2,0.04,0.14,0.19879415519931906
2,0.04,0.16,0.1991307083564931
2,0.04,0.18,0.19409212837677442
2,0.04,0.2,0.1755833123714159
2,0.04,0.22,0.1769256089532587
2,0.04,0.24,0.17519918521643155
2,0.04,0.26,0.17007051851330793
2,0.04,0.28,0.15232185099893458
2,0.04,0.3,0.14356410250190937
2,0.04,0.32,0.12595872918726142
2,0.04,0.34,0.12595872918726142
2,0.04,0.36,0.12492992910903357
2,0.04,0.38,0.12294778426974588
2,0.04,0.4,0.10813471346211127
2,0.04,0.42,0.10903777783614321
2,0.04,0.44,0.10793921645471606
2,0.04,0.46,0.10274671392178801
2,0.04,0.48,0.10274671392178801
2,0.04,0.5,0.0973284504091674
2,0.04,0.52,0.0973284504091674
2,0.04,0.54,0.09040544542718165
2,0.04,0.56,0.08928731085771965
2,0.04,0.58,0.08958341734216695
2,0.05,0.01,0.26887136713409454
2,0.05,0.02,0.27658947958660923
2,0.05,0.06,0.25342742747245944
2,0.05,0.08,0.24025353493439275
2,0.05,0.1,0.23184610917079615
2,0.05,0.12,0.207719419325799
2,0.05,0.14,0.19921155211940828
2,0.05,0.16,0.1890520072189851
2,0.05,0.18,0.17910259053116193
2,0.05,0.2,0.1767367225621133
2,0.05,0.22,0.1690854119425548
2,0.05,0.24,0.14585981367616396
2,0.05,0.26,0.1238747641184411
2,0.05,0.28,0.11058667408440113
2,0.05,0.3,0.10863001905814355
2,0.05,0.32,0.1065178500265219
2,0.05,0.34,0.1065178500265219
2,0.05,0.36,0.10583953352189265
2,0.05,0.38,0.09594251978489701
2,0.05,0.4,0.09594251978489701
2,0.05,0.42,0.096099845251957
2,0.05,0.44,0.07887445887445885
2,0.05,0.46,0.07775767882910736
2,0.05,0.48,0.07775767882910736
2,0.05,0.5,0.07775767882910736
2,0.05,0.52,0.07791211280000514
2,0.05,0.54,0.07678093678093677
2,0.05,0.56,0.07678093678093677
2,0.05,0.58,0.07708513708513706
3,0.01,0.1,0.31604267104216616
3,0.01,0.12,0.3272500570252083
3,0.01,0.14,0.33983358607121233
3,0.01,0.16,0.35188732551063184
3,0.01,0.18,0.35629929615496453
3,0.01,0.2,0.3688096372646676
3,0.01,0.22,0.3785957567436416
3,0.01,0.24,0.377893893976334
3,0.01,0.26,0.37922220246746824
3,0.01,0.28,0.38540202815318964
3,0.01,0.3,0.381744402952416
3,0.01,0.32,0.38206143094447326
3,0.01,0.34,0.3792114239317299
3,0.01,0.36,0.3807597530943242
3,0.01,0.38,0.3757576058545168
3,0.01,0.4,0.3811680312279329
3,0.01,0.42,0.3856556145560092
3,0.01,0.44,0.3891875664901844
3,0.01,0.46,0.38308976913833115
3,0.01,0.48,0.37985256842722775
3,0.01,0.5,0.3724618397748252
3,0.01,0.52,0.3761804502137428
3,0.01,0.54,0.372067456406916
3,0.01,0.56,0.3682508371285964
3,0.01,0.58,0.3655375022306651
3,0.02,0.1,0.44506521842383057
3,0.02,0.12,0.44196875935517205
3,0.02,0.14,0.44186936234597046
3,0.02,0.16,0.43606384260628567
3,0.02,0.18,0.4291953826343449
3,0.02,0.2,0.42746846177718817
3,0.02,0.22,0.41395512064721823
3,0.02,0.24,0.41010377501936585
3,0.02,0.26,0.40039792989916334
3,0.02,0.28,0.3939500753519317
3,0.02,0.3,0.3857791195131182
3,0.02,0.32,0.3928012521391256
3,0.02,0.34,0.3863855565819635
3,0.02,0.36,0.3772630589741022
3,0.02,0.38,0.3683261498367604
3,0.02,0.4,0.36961013814722715
3,0.02,0.42,0.3634813097291229
3,0.02,0.44,0.35632864169736134
3,0.02,0.46,0.3505930438480483
3,0.02,0.48,0.3466410880701666
3,0.02,0.5,0.3411380862130727
3,0.02,0.52,0.33656574377084286
3,0.02,0.54,0.3346358994973877
3,0.02,0.56,0.31759722712836785
3,0.02,0.58,0.3173489013616437
3,0.03,0.01,0.43585139842952575
3,0.03,0.02,0.4445787529230579
3,0.03,0.06,0.39920197898941484
3,0.03,0.08,0.38964757703353853
3,0.03,0.1,0.3866128552240255
3,0.03,0.12,0.3728272401691302
3,0.03,0.14,0.37613464001088576
3,0.03,0.16,0.36823016134784936
3,0.03,0.18,0.35728453757403184
3,0.03,0.2,0.35199373646144644
3,0.03,0.22,0.35319829261333285
3,0.03,0.24,0.3507978872146715
3,0.03,0.26,0.343797187440511
3,0.03,0.28,0.3244613879665037
3,0.03,0.3,0.3212449057650296
3,0.03,0.32,0.31515773030236927
3,0.03,0.34,0.30154172261571877
3,0.03,0.36,0.2864319951352362
3,0.03,0.38,0.2771835275295244
3,0.03,0.4,0.2619498247652959
3,0.03,0.42,0.26250275217943964
3,0.03,0.44,0.2574586410262843
3,0.03,0.46,0.25794201648299564
3,0.03,0.48,0.24386004180122361
3,0.03,0.5,0.24418324800678276
3,0.03,0.52,0.24433670318549883
3,0.03,0.54,0.2334487608270988
3,0.03,0.56,0.22887866273528465
3,0.03,0.58,0.22283929622454987
3,0.04,0.01,0.489844974982911
3,0.04,0.02,0.47142269374213314
3,0.04,0.06,0.41029940669094966
3,0.04,0.08,0.39673865348857407
3,0.04,0.1,0.37226269352412167
3,0.04,0.12,0.36565617062527805
3,0.04,0.14,0.34659018101036665
3,0.04,0.16,0.3347084050978516
3,0.04,0.18,0.32906046826937635
3,0.04,0.2,0.3283645697511501
3,0.04,0.22,0.3145807862043864
3,0.04,0.24,0.3026183923647579
3,0.04,0.26,0.2904222721041215
3,0.04,0.28,0.2866052022903468
3,0.04,0.3,0.2782583336061984
3,0.04,0.32,0.2629485473642326
3,0.04,0.34,0.23912289154108696
3,0.04,0.36,0.23579914028043839
3,0.04,0.38,0.2298842738822981
3,0.04,0.4,0.22929642506318262
3,0.04,0.42,0.22940987479898398
3,0.04,0.44,0.22045586584497506
3,0.04,0.46,0.21115305600965334
3,0.04,0.48,0.20170885509444073
3,0.04,0.5,0.19727513023671647
3,0.04,0.52,0.19727513023671647
3,0.04,0.54,0.19727513023671647
3,0.04,0.56,0.1918157779433792
3,0.04,0.58,0.1900487049391677
3,0.05,0.01,0.5042499463957786
3,0.05,0.02,0.5120669056790649
3,0.05,0.06,0.4095826618007055
3,0.05,0.08,0.4035570172269085
3,0.05,0.1,0.38735097579657757
3,0.05,0.12,0.3621306627023219
3,0.05,0.14,0.3397534242891697
3,0.05,0.16,0.3330139840611817
3,0.05,0.18,0.33214531128425684
3,0.05,0.2,0.3029922024629118
3,0.05,0.22,0.29674664376973026
3,0.05,0.24,0.2801408731303076
3,0.05,0.26,0.2662205116083233
3,0.05,0.28,0.2500983354344069
3,0.05,0.3,0.23619650833026745
3,0.05,0.32,0.2172387743706752
3,0.05,0.34,0.21638732745157352
3,0.05,0.36,0.20743331849756458
3,0.05,0.38,0.18382878670587083
3,0.05,0.4,0.17912321357918945
3,0.05,0.42,0.17939243103006167
3,0.05,0.44,0.17437785377058646
3,0.05,0.46,0.1720067134702554
3,0.05,0.48,0.1709380650122012
3,0.05,0.5,0.17108907679111995
3,0.05,0.52,0.1712641870558648
3,0.05,0.54,0.16604066907724477
3,0.05,0.56,0.1613612938715538
3,0.05,0.58,0.16026152062892338
4,0.01,0.1,0.3486928186232863
4,0.01,0.12,0.3646165181817578
4,0.01,0.14,0.37537740503182004
4,0.01,0.16,0.3914890969743425
4,0.01,0.18,0.40043329932453287
4,0.01,0.2,0.4153196232627399
4,0.01,0.22,0.42445459663260715
4,0.01,0.24,0.433767351746574
4,0.01,0.26,0.4428108657164352
4,0.01,0.28,0.4540006963813937
4,0.01,0.3,0.4542436538628177
4,0.01,0.32,0.46067482586403496
4,0.01,0.34,0.46395654891483096
4,0.01,0.36,0.4611439884740895
4,0.01,0.38,0.457383530431914
4,0.01,0.4,0.45963865012795146
4,0.01,0.42,0.4681356995645037
4,0.01,0.44,0.465935674618662
4,0.01,0.46,0.4693238444504887
4,0.01,0.48,0.47164214693427303
4,0.01,0.5,0.4774981295699137
4,0.01,0.52,0.47766073425248884
4,0.01,0.54,0.4760355139431237
4,0.01,0.56,0.47861759308697377
4,0.01,0.58,0.4753017504797499
4,0.02,0.1,0.5610990366104565
4,0.02,0.12,0.5522963864417338
4,0.02,0.14,0.5574249254998674
4,0.02,0.16,0.5590608741192842
4,0.02,0.18,0.5533141189902084
4,0.02,0.2,0.5419384964672816
4,0.02,0.22,0.5387270746255675
4,0.02,0.24,0.5417229269386604
4,0.02,0.26,0.5306697643522627
4,0.02,0.28,0.5257614939350378
4,0.02,0.3,0.5256990765667037
4,0.02,0.32,0.5217118350924046
4,0.02,0.34,0.5040247139894453
4,0.02,0.36,0.4970755464994526
4,0.02,0.38,0.49227578013227474
4,0.02,0.4,0.48944922505433935
4,0.02,0.42,0.4857145017137647
4,0.02,0.44,0.47547629262045493
4,0.02,0.46,0.46525821591845445
4,0.02,0.48,0.4637106203690104
4,0.02,0.5,0.4530044658023632
4,0.02,0.52,0.4431867718620766
4,0.02,0.54,0.436167285436812
4,0.02,0.56,0.43197458874728245
4,0.02,0.58,0.4208796422103663
4,0.03,0.01,0.5752694376215778
4,0.03,0.02,0.5811517398240966
4,0.03,0.06,0.5768537069363057
4,0.03,0.08,0.5762795879751017
4,0.03,0.1,0.5642618948128544
4,0.03,0.12,0.5508952889686559
4,0.03,0.14,0.5410811281000127
4,0.03,0.16,0.5321441389199623
4,0.03,0.18,0.5154793607695715
4,0.03,0.2,0.49957437494081824
4,0.03,0.22,0.49363802057402567
4,0.03,0.24,0.48889865096085144
4,0.03,0.26,0.4765557186884993
4,0.03,0.28,0.46379665475238163
4,0.03,0.3,0.46366916836491706
4,0.03,0.32,0.45182692039799843
4,0.03,0.34,0.4255528143892668
4,0.03,0.36,0.41827121767869047
4,0.03,0.38,0.41155886255589336
4,0.03,0.4,0.3965969004916484
4,0.03,0.42,0.3844507051132187
4,0.03,0.44,0.37948151670276004
4,0.03,0.46,0.35944718586418684
4,0.03,0.48,0.3414775004257274
4,0.03,0.5,0.3381485674061556
4,0.03,0.52,0.3323704189966646
4,0.03,0.54,0.31049629280614865
4,0.03,0.56,0.309628315193985
4,0.03,0.58,0.30505003567921923
4,0.04,0.01,0.6165552641653893
4,0.04,0.02,0.6215917887483788
4,0.04,0.06,0.592371513724224
4,0.04,0.08,0.5682640701170385
4,0.04,0.1,0.5354939422374626
4,0.04,0.12,0.533370463031045
4,0.04,0.14,0.4963871292126943
4,0.04,0.16,0.4813193446083811
4,0.04,0.18,0.4579790972586814
4,0.04,0.2,0.45267786825555945
4,0.04,0.22,0.4341053416627207
4,0.04,0.24,0.4174520858592981
4,0.04,0.26,0.40188249309128776
4,0.04,0.28,0.37894697320814535
4,0.04,0.3,0.36519779306423183
4,0.04,0.32,0.3585327620679733
4,0.04,0.34,0.34347116390411
4,0.04,0.36,0.33346016251823307
4,0.04,0.38,0.330582314247355
4,0.04,0.4,0.31871867288435335
4,0.04,0.42,0.3128354645720532
4,0.04,0.44,0.2993529684884529
4,0.04,0.46,0.29968910294223444
4,0.04,0.48,0.2929734788490933
4,0.04,0.5,0.26397801012341887
4,0.04,0.52,0.25507829746542227
4,0.04,0.54,0.2493287864079846
4,0.04,0.56,0.24619756458305725
4,0.04,0.58,0.24333512090428705
4,0.05,0.01,0.595685913137661
4,0.05,0.02,0.6160672632029879
