Batch, ID1, Percentage1, ID2, Percentage2
1, SRR28370694, 99%, ERR8958843, 1%
2, SRR28370694, 98%, ERR8958843, 2%
3, SRR28370694, 97%, ERR8958843, 3%
4, SRR28370694, 96%, ERR8958843, 4%
5, SRR28370694, 95%, ERR8958843, 5%
6, SRR28370694, 94%, ERR8958843, 6%
7, SRR28370694, 93%, ERR8958843, 7%
8, SRR28370694, 92%, ERR8958843, 8%
9, SRR28370694, 91%, ERR8958843, 9%
10, SRR28370694, 90%, ERR8958843, 10%
