Batch, ID1, Percentage1, ID2, Percentage2
1, ERR8958737, 99%, SRR27348733, 1%
2, ERR8958737, 98%, SRR27348733, 2%
3, ERR8958737, 97%, SRR27348733, 3%
4, ERR8958737, 96%, SRR27348733, 4%
5, ERR8958737, 95%, SRR27348733, 5%
6, ERR8958737, 94%, SRR27348733, 6%
7, ERR8958737, 93%, SRR27348733, 7%
8, ERR8958737, 92%, SRR27348733, 8%
9, ERR8958737, 91%, SRR27348733, 9%
10, ERR8958737, 90%, SRR27348733, 10%
