Dataset,MAF,Abundance Level,Average Precision,Average Recall,Average F1 Score
mixed,0.03,3,0.4472,0.5459,0.4570
mixed,0.03,5,0.5260,0.7626,0.6025
mixed,0.03,6,0.5178,0.8093,0.6103
mixed,0.03,4,0.5195,0.7195,0.5771
mixed,0.04,1,0.1155,0.0480,0.0644
mixed,0.04,9,0.6773,0.8516,0.7396
mixed,0.04,8,0.6238,0.8192,0.6929
mixed,0.04,10,0.6530,0.8443,0.7202
mixed,0.04,2,0.3577,0.2279,0.2600
mixed,0.04,7,0.6744,0.7957,0.7175
mixed,0.04,3,0.4516,0.3491,0.3587
mixed,0.04,5,0.5953,0.6609,0.6059
mixed,0.04,6,0.5941,0.7163,0.6336
mixed,0.04,4,0.5834,0.5819,0.5511
mixed,0.05,1,0.0837,0.0213,0.0324
mixed,0.05,9,0.7200,0.8093,0.7499
mixed,0.05,8,0.6583,0.7441,0.6842
mixed,0.05,10,0.7084,0.8224,0.7486
mixed,0.05,2,0.3583,0.1503,0.1969
mixed,0.05,7,0.7229,0.7326,0.7129
mixed,0.05,3,0.4131,0.2263,0.2660
mixed,0.05,5,0.6182,0.5233,0.5393
mixed,0.05,6,0.6318,0.6252,0.6093
mixed,0.05,4,0.5722,0.4200,0.4475
