Dataset,MAF,Abundance Level,Average F1 Score,Average Precision,Average Recall
mixed,0.02,1,0.1716,0.3204,0.1426
mixed,0.02,9,0.7531,0.6697,0.8966
mixed,0.02,8,0.6988,0.6226,0.8464
mixed,0.02,10,0.7588,0.6630,0.9211
mixed,0.02,2,0.3833,0.4864,0.3480
mixed,0.02,7,0.7210,0.6645,0.8201
mixed,0.02,3,0.4536,0.5205,0.4458
mixed,0.02,5,0.5942,0.5803,0.6471
mixed,0.02,6,0.6192,0.5797,0.7065
mixed,0.02,4,0.5615,0.5823,0.5880
mixed,0.03,1,0.1936,0.3362,0.1556
mixed,0.03,9,0.7709,0.6789,0.9228
mixed,0.03,8,0.7160,0.6353,0.8593
mixed,0.03,10,0.7740,0.6787,0.9333
mixed,0.03,2,0.4288,0.5435,0.3780
mixed,0.03,7,0.7617,0.6890,0.8786
mixed,0.03,3,0.5181,0.5726,0.5162
mixed,0.03,5,0.6405,0.6130,0.7054
mixed,0.03,6,0.6570,0.6004,0.7604
mixed,0.03,4,0.6439,0.6469,0.6878
mixed,0.04,1,0.2018,0.3952,0.1559
mixed,0.04,9,0.7804,0.7011,0.9162
mixed,0.04,8,0.7376,0.6661,0.8696
mixed,0.04,10,0.7880,0.6960,0.9403
mixed,0.04,2,0.4356,0.5633,0.3751
mixed,0.04,7,0.7667,0.7104,0.8608
mixed,0.04,3,0.4957,0.5645,0.4744
mixed,0.04,5,0.6569,0.6412,0.7031
mixed,0.04,6,0.6632,0.6287,0.7328
mixed,0.04,4,0.6170,0.6325,0.6363
mixed,0.05,1,0.1851,0.3563,0.1382
mixed,0.05,9,0.7949,0.7389,0.8895
mixed,0.05,8,0.7509,0.7012,0.8356
mixed,0.05,10,0.8034,0.7308,0.9157
mixed,0.05,2,0.4274,0.5941,0.3521
mixed,0.05,7,0.7827,0.7524,0.8376
mixed,0.05,3,0.5117,0.6135,0.4671
mixed,0.05,5,0.6564,0.6750,0.6689
mixed,0.05,6,0.6791,0.6765,0.7128
mixed,0.05,4,0.6256,0.6658,0.6237
