Dataset,MAF,Abundance Level,Average F1 Score,Average Precision,Average Recall
mixed,0.02,1,0.1637,0.3113,0.1367
mixed,0.02,9,0.7571,0.6737,0.9046
mixed,0.02,8,0.7052,0.6380,0.8419
mixed,0.02,10,0.7627,0.6715,0.9214
mixed,0.02,2,0.3747,0.4933,0.3345
mixed,0.02,7,0.7356,0.6853,0.8288
mixed,0.02,3,0.4469,0.5252,0.4345
mixed,0.02,5,0.6058,0.6046,0.6490
mixed,0.02,6,0.6208,0.5906,0.7027
mixed,0.02,4,0.5607,0.5876,0.5864
mixed,0.03,1,0.1925,0.3479,0.1520
mixed,0.03,9,0.7779,0.6926,0.9140
mixed,0.03,8,0.7213,0.6463,0.8516
mixed,0.03,10,0.7834,0.6950,0.9246
mixed,0.03,2,0.4227,0.5551,0.3655
mixed,0.03,7,0.7612,0.7008,0.8571
mixed,0.03,3,0.5113,0.5792,0.4979
mixed,0.03,5,0.6366,0.6236,0.6842
mixed,0.03,6,0.6532,0.6127,0.7302
mixed,0.03,4,0.6416,0.6582,0.6703
mixed,0.04,1,0.1796,0.3856,0.1342
mixed,0.04,9,0.7888,0.7351,0.8871
mixed,0.04,8,0.7543,0.7047,0.8547
mixed,0.04,10,0.8137,0.7408,0.9287
mixed,0.04,2,0.4303,0.5979,0.3575
mixed,0.04,7,0.7715,0.7413,0.8346
mixed,0.04,3,0.4952,0.5957,0.4501
mixed,0.04,5,0.6649,0.6746,0.6874
mixed,0.04,6,0.6837,0.6706,0.7283
mixed,0.04,4,0.6319,0.6668,0.6349
mixed,0.05,1,0.1743,0.3842,0.1279
mixed,0.05,9,0.8026,0.7597,0.8776
mixed,0.05,8,0.7714,0.7318,0.8432
mixed,0.05,10,0.8156,0.7539,0.9143
mixed,0.05,2,0.4144,0.5962,0.3390
mixed,0.05,7,0.7857,0.7734,0.8204
mixed,0.05,3,0.5052,0.6238,0.4509
mixed,0.05,5,0.6493,0.6901,0.6480
mixed,0.05,6,0.6896,0.7081,0.7001
mixed,0.05,4,0.6293,0.6848,0.6139
