Dataset,MAF,Abundance Level,Precision,Recall,F1 Score
220,bf_0.03,10,0.5092,0.9125,0.6188
220,bf_0.03,8,0.5040,0.8817,0.6066
220,bf_0.03,7,0.4949,0.8827,0.5990
220,bf_0.03,5,0.4516,0.6816,0.5160
220,bf_0.03,3,0.3549,0.4308,0.3436
220,bf_0.03,6,0.4681,0.7448,0.5491
220,bf_0.03,1,0.0779,0.1013,0.0635
220,bf_0.03,9,0.5088,0.9117,0.6187
220,bf_0.03,2,0.2431,0.2587,0.1991
220,bf_0.04,4,0.4809,0.4580,0.4334
220,bf_0.04,10,0.6381,0.8955,0.7185
220,bf_0.04,8,0.6039,0.7904,0.6583
220,bf_0.04,7,0.6039,0.7880,0.6560
220,bf_0.04,5,0.5509,0.6009,0.5464
220,bf_0.04,3,0.3767,0.2809,0.2780
220,bf_0.04,6,0.5620,0.6657,0.5874
220,bf_0.04,1,0.0248,0.0261,0.0221
220,bf_0.04,9,0.6425,0.8896,0.7179
220,bf_0.04,2,0.2176,0.1612,0.1455
220,bf_0.05,4,0.5152,0.3204,0.3491
220,bf_0.05,10,0.7197,0.8476,0.7559
220,bf_0.05,8,0.6702,0.7021,0.6567
220,bf_0.05,7,0.6595,0.6786,0.6347
220,bf_0.05,5,0.5852,0.4716,0.4859
220,bf_0.05,3,0.3775,0.1953,0.2199
220,bf_0.05,6,0.6082,0.5634,0.5612
220,bf_0.05,1,0.0204,0.0040,0.0065
220,bf_0.05,9,0.7211,0.8226,0.7427
220,bf_0.05,2,0.2302,0.0785,0.0923
