Dataset,MAF,Abundance Level,Average F1 Score,Average Precision,Average Recall
mixed,0.02,1,0.1577,0.2999,0.1312
mixed,0.02,9,0.7571,0.6949,0.8682
mixed,0.02,8,0.6996,0.6509,0.8041
mixed,0.02,10,0.7617,0.6927,0.8811
mixed,0.02,2,0.3519,0.4993,0.3039
mixed,0.02,7,0.7246,0.7044,0.7926
mixed,0.02,3,0.4405,0.5446,0.4178
mixed,0.02,5,0.5766,0.6106,0.5983
mixed,0.02,6,0.5993,0.5983,0.6546
mixed,0.02,4,0.5588,0.6200,0.5708
mixed,0.03,1,0.1693,0.3506,0.1286
mixed,0.03,9,0.7638,0.6813,0.9042
mixed,0.03,8,0.7159,0.6388,0.8627
mixed,0.03,10,0.7677,0.6845,0.9098
mixed,0.03,2,0.3889,0.5418,0.3314
mixed,0.03,7,0.7483,0.6938,0.8398
mixed,0.03,3,0.4984,0.5708,0.4861
mixed,0.03,5,0.6374,0.6139,0.6958
mixed,0.03,6,0.6397,0.5972,0.7208
mixed,0.03,4,0.6003,0.6127,0.6331
mixed,0.04,1,0.1817,0.3739,0.1395
mixed,0.04,9,0.7795,0.7031,0.9122
mixed,0.04,8,0.7395,0.6700,0.8720
mixed,0.04,10,0.7922,0.7046,0.9353
mixed,0.04,2,0.4207,0.5707,0.3583
mixed,0.04,7,0.7660,0.7180,0.8500
mixed,0.04,3,0.4861,0.5712,0.4560
mixed,0.04,5,0.6454,0.6396,0.6828
mixed,0.04,6,0.6638,0.6378,0.7221
mixed,0.04,4,0.6169,0.6442,0.6293
mixed,0.05,1,0.1527,0.3246,0.1167
mixed,0.05,9,0.7871,0.7162,0.9039
mixed,0.05,8,0.7456,0.6784,0.8587
mixed,0.05,10,0.7898,0.7060,0.9245
mixed,0.05,2,0.4009,0.5720,0.3379
mixed,0.05,7,0.7761,0.7373,0.8424
mixed,0.05,3,0.4860,0.5884,0.4521
mixed,0.05,5,0.6585,0.6660,0.6848
mixed,0.05,6,0.6608,0.6396,0.7185
mixed,0.05,4,0.6226,0.6556,0.6301
