Batch, ID1, Percentage1, ID2, Percentage2
1, SRR27638397, 1%, SRR26899121, 99%
2, SRR27710526, 98%, SRR26899121, 2%
3, SRR27710526, 3%, SRR26899121, 97%
4, SRR27638397, 96%, SRR26899121, 4%
5, SRR26899121, 95%, SRR27638397, 5%
6, SRR27638397, 94%, SRR26899121, 6%
7, SRR26899121, 93%, SRR27710526, 7%
8, SRR27638397, 92%, SRR26899121, 8%
9, SRR27638397, 9%, SRR27710526, 91%
10, SRR26899121, 90%, SRR27638397, 10%
