Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28399428, 98%, SRR27755678, 1%, SRR27136088, 1%
2, SRR28399428, 96%, SRR27136088, 2%, SRR27755678, 2%
3, SRR27755678, 94%, SRR28399428, 3%, SRR27136088, 3%
4, SRR27755678, 4%, SRR27136088, 92%, SRR28399428, 4%
5, SRR28399428, 90%, SRR27755678, 5%, SRR27136088, 5%
6, SRR27755678, 88%, SRR28399428, 6%, SRR27136088, 6%
7, SRR27136088, 86%, SRR28399428, 7%, SRR27755678, 7%
8, SRR27755678, 8%, SRR27136088, 84%, SRR28399428, 8%
9, SRR28399428, 82%, SRR27755678, 9%, SRR27136088, 9%
10, SRR28399428, 80%, SRR27755678, 10%, SRR27136088, 10%
