Batch, ID1, Percentage1, ID2, Percentage2
1, SRR25689478, 1%, SRR26899125, 99%
2, SRR25689478, 2%, SRR26899125, 98%
3, SRR26899125, 97%, SRR25689478, 3%
4, SRR25689478, 4%, SRR26899125, 96%
5, SRR25689478, 5%, SRR26899125, 95%
6, SRR25689478, 94%, SRR26899125, 6%
7, SRR25689478, 93%, SRR26899125, 7%
8, SRR26899125, 8%, SRR25689478, 92%
9, SRR25689478, 9%, SRR26899125, 91%
10, SRR26899125, 90%, SRR25689478, 10%
