Batch, ID1, Percentage1, ID2, Percentage2
1, SRR27710526, 99%, SRR27638397, 1%
2, SRR27710526, 98%, SRR27638397, 2%
3, SRR27638397, 3%, SRR27710526, 97%
4, SRR27638397, 4%, SRR27710526, 96%
5, SRR27710526, 5%, SRR27638397, 95%
6, SRR27638397, 94%, SRR27710526, 6%
7, SRR27638397, 7%, SRR27710526, 93%
8, SRR27638397, 92%, SRR27710526, 8%
9, SRR27710526, 9%, SRR27638397, 91%
10, SRR27638397, 10%, SRR27710526, 90%
