Batch, ID1, Percentage1, ID2, Percentage2
1, SRR27638397, 99%, SRR27710526, 1%
2, SRR27638397, 98%, SRR27710526, 2%
3, SRR27638397, 97%, SRR27710526, 3%
4, SRR27638397, 96%, SRR27710526, 4%
5, SRR27638397, 95%, SRR27710526, 5%
6, SRR27638397, 94%, SRR27710526, 6%
7, SRR27638397, 93%, SRR27710526, 7%
8, SRR27638397, 92%, SRR27710526, 8%
9, SRR27638397, 91%, SRR27710526, 9%
10, SRR27638397, 90%, SRR27710526, 10%
