Batch, ID1, Percentage1, ID2, Percentage2, ID3, Percentage3
1, SRR28399428, 1%, SRR27136088, 98%, SRR27755678, 1%
2, SRR28399428, 2%, SRR27136088, 96%, SRR27755678, 2%
3, SRR28399428, 3%, SRR27136088, 94%, SRR27755678, 3%
4, SRR28399428, 4%, SRR27136088, 92%, SRR27755678, 4%
5, SRR28399428, 5%, SRR27136088, 90%, SRR27755678, 5%
6, SRR28399428, 6%, SRR27136088, 88%, SRR27755678, 6%
7, SRR28399428, 7%, SRR27136088, 86%, SRR27755678, 7%
8, SRR28399428, 8%, SRR27136088, 84%, SRR27755678, 8%
9, SRR28399428, 9%, SRR27136088, 82%, SRR27755678, 9%
10, SRR28399428, 10%, SRR27136088, 80%, SRR27755678, 10%
