Batch, ID1, Percentage1, ID2, Percentage2
1, SRR26899125, 99%, SRR26899129, 1%
2, SRR26899125, 98%, SRR28399430, 2%
3, SRR28399430, 97%, SRR26899129, 3%
4, SRR26899129, 4%, SRR26899125, 96%
5, SRR28399430, 95%, SRR26899129, 5%
6, SRR28399430, 94%, SRR26899125, 6%
7, SRR26899125, 93%, SRR26899129, 7%
8, SRR28399430, 92%, SRR26899129, 8%
9, SRR26899129, 9%, SRR28399430, 91%
10, SRR28399430, 90%, SRR26899129, 10%
