Batch, ID1, Percentage1, ID2, Percentage2
1, ERR8958737, 1%, SRR27348733, 99%
2, ERR8958737, 2%, SRR27348733, 98%
3, ERR8958737, 3%, SRR27348733, 97%
4, ERR8958737, 4%, SRR27348733, 96%
5, ERR8958737, 5%, SRR27348733, 95%
6, ERR8958737, 6%, SRR27348733, 94%
7, ERR8958737, 7%, SRR27348733, 93%
8, ERR8958737, 8%, SRR27348733, 92%
9, ERR8958737, 9%, SRR27348733, 91%
10, ERR8958737, 10%, SRR27348733, 90%
