Batch, ID1, Percentage1, ID2, Percentage2
1, SRR26643493, 1%, SRR27710531, 99%
2, SRR26643493, 98%, SRR27710531, 2%
3, SRR27710531, 3%, SRR23387317, 97%
4, SRR27710531, 4%, SRR26643493, 96%
5, SRR23387317, 95%, SRR27710531, 5%
6, SRR23387317, 94%, SRR27710531, 6%
7, SRR27710531, 7%, SRR26643493, 93%
8, SRR23387317, 92%, SRR27710531, 8%
9, SRR27710531, 91%, SRR26643493, 9%
10, SRR23387317, 90%, SRR26643493, 10%
