Batch, ID1, Percentage1, ID2, Percentage2
1, SRR28370694, 1%, ERR8958843, 99%
2, SRR28370694, 2%, ERR8958843, 98%
3, SRR28370694, 3%, ERR8958843, 97%
4, SRR28370694, 4%, ERR8958843, 96%
5, SRR28370694, 5%, ERR8958843, 95%
6, SRR28370694, 6%, ERR8958843, 94%
7, SRR28370694, 7%, ERR8958843, 93%
8, SRR28370694, 8%, ERR8958843, 92%
9, SRR28370694, 9%, ERR8958843, 91%
10, SRR28370694, 10%, ERR8958843, 90%
