Batch, ID1, Percentage1, ID2, Percentage2
1, SRR27167517, 1%, SRR28370694, 99%
2, ERR8958843, 98%, SRR28370694, 2%
3, ERR8958843, 97%, SRR28370694, 3%
4, SRR27167517, 96%, ERR8958843, 4%
5, ERR8958843, 5%, SRR27167517, 95%
6, SRR27167517, 6%, ERR8958843, 94%
7, ERR8958843, 7%, SRR27167517, 93%
8, SRR27167517, 8%, SRR28370694, 92%
9, SRR27167517, 91%, ERR8958843, 9%
10, SRR28370694, 90%, SRR27167517, 10%
