Batch, ID1, Percentage1, ID2, Percentage2
1, SRR25689478, 1%, SRR26899125, 99%
2, SRR25689478, 98%, SRR26899125, 2%
3, SRR26899125, 97%, SRR25689478, 3%
4, SRR26899125, 96%, SRR25689478, 4%
5, SRR26899125, 95%, SRR25689478, 5%
6, SRR25689478, 6%, SRR26899125, 94%
7, SRR25689478, 7%, SRR26899125, 93%
8, SRR25689478, 8%, SRR26899125, 92%
9, SRR25689478, 9%, SRR26899125, 91%
10, SRR26899125, 90%, SRR25689478, 10%
