batch,mrd,ii,average_f1
1,0.02,0.52,0.13306570144845278
1,0.02,0.54,0.13399999430073334
1,0.02,0.56,0.13453717310694654
1,0.02,0.58,0.13195371399484188
1,0.03,0.01,0.09502509680456184
1,0.03,0.02,0.09525960921417684
1,0.03,0.04,0.09783481651228597
1,0.03,0.06,0.09789075665633183
1,0.03,0.08,0.0987707739352099
1,0.03,0.1,0.0987991186064117
1,0.03,0.12,0.0988277174899113
1,0.03,0.14,0.0988277174899113
1,0.03,0.16,0.09934255154454953
1,0.03,0.18,0.09934255154454953
1,0.03,0.2,0.10741764623222028
1,0.03,0.22,0.10741764623222028
1,0.03,0.24,0.10741764623222028
1,0.03,0.26,0.10744702861454383
1,0.03,0.28,0.10772855792364353
1,0.03,0.3,0.10365973266579387
1,0.03,0.32,0.10365973266579387
1,0.03,0.34,0.10503506196999347
1,0.03,0.36,0.10503506196999347
1,0.03,0.38,0.10587207266177594
1,0.03,0.4,0.1067064319894788
1,0.03,0.42,0.1067064319894788
1,0.03,0.44,0.1131408565631326
1,0.03,0.46,0.1131408565631326
1,0.03,0.48,0.11317077930261925
1,0.03,0.5,0.11317077930261925
1,0.03,0.52,0.11748709978457612
1,0.03,0.54,0.11414376667996798
1,0.03,0.56,0.11519705656509356
1,0.03,0.58,0.11519705656509356
1,0.04,0.01,0.09470006898531184
1,0.04,0.02,0.09580296907811094
1,0.04,0.04,0.10979651063622366
1,0.04,0.06,0.10979651063622366
1,0.04,0.08,0.10951115304749529
1,0.04,0.1,0.11196707098351331
1,0.04,0.12,0.11208000332763993
1,0.04,0.14,0.11621254098088629
1,0.04,0.16,0.12046511980931955
1,0.04,0.18,0.12153484793292801
1,0.04,0.2,0.12225558245897228
1,0.04,0.22,0.12563564433527477
1,0.04,0.24,0.12563564433527477
1,0.04,0.26,0.1255309203739771
1,0.04,0.28,0.1252579014674178
1,0.04,0.3,0.1255309203739771
1,0.04,0.32,0.12428249005638652
1,0.04,0.34,0.12529706911635694
1,0.04,0.36,0.12529706911635694
1,0.04,0.38,0.12730254056563706
1,0.04,0.4,0.1267623741268531
1,0.04,0.42,0.12681205780742016
1,0.04,0.44,0.12681205780742016
1,0.04,0.46,0.12556849862423655
1,0.04,0.48,0.12561468501872813
1,0.04,0.5,0.12763173442290587
1,0.04,0.52,0.12763173442290587
1,0.04,0.54,0.12763173442290587
1,0.04,0.56,0.12889578238117405
1,0.04,0.58,0.13093997509091113
1,0.05,0.01,0.09902116664024153
1,0.05,0.02,0.09902116664024153
1,0.05,0.04,0.10155958980719008
1,0.05,0.06,0.10197463600824944
1,0.05,0.08,0.10972433891021385
1,0.05,0.1,0.10976709725504323
1,0.05,0.12,0.1098023561138315
1,0.05,0.14,0.11612554112554109
1,0.05,0.16,0.12338925734500061
1,0.05,0.18,0.12338925734500061
1,0.05,0.2,0.12327181328902496
1,0.05,0.22,0.12528941823126433
1,0.05,0.24,0.12528941823126433
1,0.05,0.26,0.126793227138441
1,0.05,0.28,0.13097272025685308
1,0.05,0.3,0.12910060044118488
1,0.05,0.32,0.13270756257111976
1,0.05,0.34,0.13270756257111976
1,0.05,0.36,0.13201642408352512
1,0.05,0.38,0.13349438727339918
1,0.05,0.4,0.1332207894621817
1,0.05,0.42,0.1344181808198007
1,0.05,0.44,0.13605556371319136
1,0.05,0.46,0.13739925248214027
1,0.05,0.48,0.13831362124826152
1,0.05,0.5,0.14034124851270968
1,0.05,0.52,0.14006765070149219
