group,tool,mrd,depth,batch,precision,recall,f1score
group 1,Confindr,0.02,120,6,0.37952291146964184,0.8668473351400181,0.5219492299899131
group 1,Confindr,0.02,120,7,0.387412003516702,0.8905149051490515,0.5348686081458197
group 1,Confindr,0.02,120,8,0.3968650884922232,0.8986449864498646,0.5451477995694489
group 1,Confindr,0.02,120,9,0.3874667851822487,0.8990063233965674,0.5364446770146811
group 1,Confindr,0.02,120,10,0.3810862886429261,0.9034327009936767,0.5318923277042479
group 1,Confindr,0.02,170,1,0.0845168989920014,0.20722673893405597,0.11834808366375149
group 1,Confindr,0.02,170,2,0.19365976722845224,0.5398373983739837,0.28117011453725443
group 1,Confindr,0.02,170,3,0.25014919945244235,0.7370370370370369,0.3689820878096063
group 1,Confindr,0.02,170,4,0.2781227916921633,0.847606142728094,0.4150880680524648
group 1,Confindr,0.02,170,5,0.29043481798108345,0.8942186088527552,0.4347532713507767
group 1,Confindr,0.02,170,6,0.29100815405470876,0.9064137308039747,0.4372734746487244
group 1,Confindr,0.02,170,7,0.28782058912085273,0.9145438121047877,0.43528282374149296
group 1,Confindr,0.02,170,8,0.28908258853475166,0.9186088527551942,0.43719292175665153
group 1,Confindr,0.02,170,9,0.2871763880472955,0.9186088527551942,0.4352748585229119
group 1,Confindr,0.02,170,10,0.28955340053544054,0.9186088527551942,0.43825342630679154
group 1,Confindr,0.02,220,1,0.10132119001369715,0.2553748870822041,0.1436041699808959
group 1,Confindr,0.02,220,2,0.20143732879723014,0.553929539295393,0.2911371035141325
group 1,Confindr,0.02,220,3,0.28111564618358,0.7917795844625113,0.41086430839483035
group 1,Confindr,0.02,220,4,0.29959527559641885,0.8583559168925023,0.4400082273216014
group 1,Confindr,0.02,220,5,0.3121219052019355,0.9064137308039747,0.4608268070994479
group 1,Confindr,0.02,220,6,0.3122520989908446,0.9145438121047877,0.4624231764892417
group 1,Confindr,0.02,220,7,0.31902467228902476,0.9145438121047877,0.4706741571823413
group 1,Confindr,0.02,220,8,0.3180531899394536,0.9145438121047877,0.4701770142125373
group 1,Confindr,0.02,220,9,0.32212619843807455,0.9149051490514906,0.47498867140080375
group 1,Confindr,0.02,220,10,0.3240381490362334,0.9149051490514906,0.47707310455144525
group 1,Confindr,0.03,120,1,0.043689442151129396,0.07506775067750675,0.0517428699246881
group 1,Confindr,0.03,120,2,0.2147508834290443,0.3392953929539295,0.2548067654978291
group 1,Confindr,0.03,120,3,0.3053530061740964,0.5253839205058717,0.3761375033955837
group 1,Confindr,0.03,120,4,0.36622671560622466,0.6814814814814814,0.4676962553778768
group 1,Confindr,0.03,120,5,0.395048582946139,0.7688346883468835,0.5134978258864177
group 1,Confindr,0.03,120,6,0.41330888793604903,0.8594399277326106,0.5523892094471012
group 1,Confindr,0.03,120,7,0.42180688510006,0.8712737127371273,0.5627316906575817
group 1,Confindr,0.03,120,8,0.4263355617522284,0.8905149051490515,0.5714023590066719
group 1,Confindr,0.03,120,9,0.4257104668024504,0.8908762420957543,0.5712515808012264
group 1,Confindr,0.03,120,10,0.43074135938105984,0.8993676603432702,0.5776428715252191
group 1,Confindr,0.03,170,1,0.04813089830067755,0.0591689250225835,0.0487479683055668
group 1,Confindr,0.03,170,2,0.21701506432993578,0.30822041553748863,0.24535434879277634
group 1,Confindr,0.03,170,3,0.35670753733240024,0.5691056910569106,0.42537100614004497
group 1,Confindr,0.03,170,4,0.4470971464663795,0.7418247515808492,0.5475886595537495
group 1,Confindr,0.03,170,5,0.46404600469612606,0.8154471544715447,0.5829624281274506
group 1,Confindr,0.03,170,6,0.47353284345607755,0.8542908762420958,0.601367377159409
group 1,Confindr,0.03,170,7,0.4808325968536839,0.8905149051490515,0.6182050122800552
group 1,Confindr,0.03,170,8,0.47506721452261846,0.902710027100271,0.616377895213567
group 1,Confindr,0.03,170,9,0.4726361696212994,0.9064137308039747,0.6161512689973602
group 1,Confindr,0.03,170,10,0.46915441025201426,0.9104787714543812,0.6152410515015396
group 1,Confindr,0.03,220,1,0.09986927086038815,0.09548328816621496,0.092345574121275
group 1,Confindr,0.03,220,2,0.2338053895430191,0.341553748870822,0.2712691268542332
group 1,Confindr,0.03,220,3,0.38575087333257263,0.5779584462511291,0.45192864844027625
group 1,Confindr,0.03,220,4,0.4487135763742192,0.7170731707317073,0.5421671235415801
group 1,Confindr,0.03,220,5,0.4910726247135555,0.8228545618789521,0.6074945191448604
group 1,Confindr,0.03,220,6,0.49930396894149554,0.8709123757904247,0.6291504922199064
group 1,Confindr,0.03,220,7,0.5035711367534866,0.878319783197832,0.6352688840272538
group 1,Confindr,0.03,220,8,0.5051237638039929,0.902710027100271,0.642751605136723
group 1,Confindr,0.03,220,9,0.5053912760132102,0.9067750677506776,0.6448907718425293
group 1,Confindr,0.03,220,10,0.5051407776166272,0.9108401084010841,0.6467426927021894
group 1,Confindr,0.04,120,1,0.03555967841682125,0.0280939476061427,0.02817460317460315
group 1,Confindr,0.04,120,2,0.20345293209876536,0.19683830171635044,0.19070277481865383
group 1,Confindr,0.04,120,3,0.31791149883255143,0.3507678410117434,0.3191316699679828
group 1,Confindr,0.04,120,4,0.4280269273848041,0.5146341463414634,0.45384921873114825
group 1,Confindr,0.04,120,5,0.4965596193160864,0.634959349593496,0.5398145071172196
group 1,Confindr,0.04,120,6,0.5504517454810396,0.7684733514001807,0.630020941423969
group 1,Confindr,0.04,120,7,0.5731553478807199,0.8191508581752485,0.6624824291402821
group 1,Confindr,0.04,120,8,0.5851938924602562,0.8428184281842819,0.6803264941802591
group 1,Confindr,0.04,120,9,0.5786334345580495,0.8631436314363143,0.6840383510098846
group 1,Confindr,0.04,120,10,0.5795207289589313,0.8790424570912376,0.6910554818887574
group 1,Confindr,0.04,170,1,0.0284552845528455,0.0284552845528455,0.0284552845528455
group 1,Confindr,0.04,170,2,0.2238218909966877,0.18500451671183377,0.1922286791793642
group 1,Confindr,0.04,170,3,0.3707510594833273,0.38925022583559166,0.36432057686280495
group 1,Confindr,0.04,170,4,0.49567500489208743,0.5590785907859078,0.51111965856066
group 1,Confindr,0.04,170,5,0.5324784994058758,0.6434507678410117,0.5700307002103953
group 1,Confindr,0.04,170,6,0.5859452425083254,0.7832881662149955,0.6619730797318288
group 1,Confindr,0.04,170,7,0.6043858556902035,0.8269196025293586,0.69084825254375
group 1,Confindr,0.04,170,8,0.6148280909847685,0.8627822944896115,0.7113061813328523
group 1,Confindr,0.04,170,9,0.6198626445746384,0.870189701897019,0.7172973949706044
group 1,Confindr,0.04,170,10,0.6235141906426476,0.8986449864498646,0.7301111396539284
group 1,Confindr,0.04,220,1,0.06891534391534385,0.0270099367660343,0.0354549392561088
group 1,Confindr,0.04,220,2,0.24452556745789822,0.231616982836495,0.2312215126493427
group 1,Confindr,0.04,220,3,0.42448490854287957,0.4203252032520325,0.40731174601290077
group 1,Confindr,0.04,220,4,0.5068250377073906,0.5476061427280939,0.5118455495398793
group 1,Confindr,0.04,220,5,0.5793630354227233,0.7255645889792232,0.6342712080171096
group 1,Confindr,0.04,220,6,0.6117940890843523,0.7921409214092141,0.6825507825288379
group 1,Confindr,0.04,220,7,0.6200960917053175,0.8110207768744355,0.6949140997468417
group 1,Confindr,0.04,220,8,0.6403290921049647,0.8624209575429088,0.7275642928114121
group 1,Confindr,0.04,220,9,0.6410612018330698,0.8945799457994581,0.7410735761903956
group 1,Confindr,0.04,220,10,0.6416833971576461,0.9108401084010841,0.7476868546172546
group 1,Confindr,0.05,120,1,0.0101010101010101,0.008130081300813,0.009009009009009
group 1,Confindr,0.05,120,2,0.19632432146498158,0.1232158988256549,0.14319952887683685
group 1,Confindr,0.05,120,3,0.3153460209381262,0.2667570009033423,0.2757996946084271
group 1,Confindr,0.05,120,4,0.44579278222428104,0.3906955736224028,0.3980694336869607
group 1,Confindr,0.05,120,5,0.5605355031886297,0.5446251129177958,0.5330835743388265
group 1,Confindr,0.05,120,6,0.6052072510359496,0.6319783197831979,0.6019160439836772
group 1,Confindr,0.05,120,7,0.6425926782986995,0.7140921409214092,0.6626988936182434
group 1,Confindr,0.05,120,8,0.6687523114353358,0.7984643179765131,0.7161429853051549
group 1,Confindr,0.05,120,9,0.6696465230416115,0.8272809394760615,0.729150169554311
group 1,Confindr,0.05,120,10,0.6700149465265899,0.8553748870822041,0.7441177058219712
group 1,Confindr,0.05,170,1,0.01388888888888885,0.008130081300813,0.01025641025641025
group 1,Confindr,0.05,170,2,0.1818627450980392,0.09286359530261964,0.11559108742319935
group 1,Confindr,0.05,170,3,0.3164705605562383,0.2475158084914182,0.2647825855480074
group 1,Confindr,0.05,170,4,0.5221460932857991,0.432520325203252,0.44923433596716045
group 1,Confindr,0.05,170,5,0.5673893321659453,0.5209575429087623,0.52289299477394
group 1,Confindr,0.05,170,6,0.6488285091836026,0.6800361336946703,0.6515543703691636
group 1,Confindr,0.05,170,7,0.6641710138171539,0.7681120144534779,0.7009597513114136
group 1,Confindr,0.05,170,8,0.6917857376325668,0.8117434507678409,0.738069502109628
group 1,Confindr,0.05,170,9,0.698924660744652,0.8265582655826558,0.7474772348131402
group 1,Confindr,0.05,170,10,0.7086438383978921,0.8664859981933153,0.77268028738746
group 1,Confindr,0.05,220,1,0.0133333333333333,0.008130081300813,0.0101010101010101
group 1,Confindr,0.05,220,2,0.23448674968071515,0.1468834688346883,0.1739004516782294
group 1,Confindr,0.05,220,3,0.36151372916078794,0.28599819331526644,0.3072163848214447
group 1,Confindr,0.05,220,4,0.49937217168929315,0.41806684733514,0.4389177744829048
group 1,Confindr,0.05,220,5,0.5910995582303089,0.5664859981933152,0.5639082861861874
group 1,Confindr,0.05,220,6,0.6306214105390312,0.6475158084914183,0.6259586507485667
group 1,Confindr,0.05,220,7,0.6596668605019187,0.7078590785907859,0.669881158361127
group 1,Confindr,0.05,220,8,0.6956023722103581,0.8073170731707318,0.7415655510460359
group 1,Confindr,0.05,220,9,0.7188728650062175,0.8675700090334236,0.782693594955362
group 1,Confindr,0.05,220,10,0.729107752597163,0.8945799457994581,0.7992909485719961
group 1,NanoMGT,0.01,120,1,0.05008063285442025,0.11065943992773256,0.06803587467098325
group 1,NanoMGT,0.01,120,2,0.1571844790285247,0.3985546522131888,0.22260261453101934
group 1,NanoMGT,0.01,120,3,0.20670435372447754,0.5383920505871725,0.2941019513353832
group 1,NanoMGT,0.01,120,4,0.25263649759918905,0.6567299006323396,0.36066094137631377
group 1,NanoMGT,0.01,120,5,0.2576791443121871,0.7407407407407407,0.38036077132421797
group 1,NanoMGT,0.01,120,6,0.29273379613280864,0.8179765130984644,0.42873902202298425
group 1,NanoMGT,0.01,120,7,0.27528915218210004,0.8523938572719061,0.41485376797540163
group 1,NanoMGT,0.01,120,8,0.29112314378997783,0.8757000903342367,0.43599590143422595
group 1,NanoMGT,0.01,120,9,0.2888732941318022,0.8993676603432701,0.4360775528249401
group 1,NanoMGT,0.01,120,10,0.2861985184443109,0.907497741644083,0.43424636736155053
