batch,mrd,pp,average_f1
2,0.02,0.38,0.2391642509937814
2,0.02,0.4,0.23866412726090472
2,0.02,0.42,0.23970792260920273
2,0.02,0.44,0.23988067800978616
2,0.02,0.46,0.24067335964990547
2,0.02,0.48,0.23712627161637978
2,0.02,0.5,0.23830043656494168
2,0.02,0.52,0.23874887718919308
2,0.02,0.54,0.23726942645876536
2,0.02,0.56,0.23760712384806112
2,0.02,0.58,0.23842150834491313
2,0.02,0.6,0.23855470847811325
2,0.02,0.62,0.2362880853758955
2,0.02,0.64,0.23740403174159977
2,0.02,0.66,0.24055726739483543
2,0.02,0.68,0.24137501470632391
2,0.03,0.2,0.20775288143205906
2,0.03,0.22,0.20794752729856197
2,0.03,0.24,0.20763570539847018
2,0.03,0.26,0.2078773858653984
2,0.03,0.28,0.20788242087262082
2,0.03,0.3,0.20712745065200175
2,0.03,0.32,0.2056039345533309
2,0.03,0.34,0.2056039345533309
2,0.03,0.36,0.19985857753202826
2,0.03,0.38,0.19846151970715975
2,0.03,0.4,0.19857290494972896
2,0.03,0.42,0.20029211450696122
2,0.03,0.44,0.20029211450696122
2,0.03,0.46,0.20071041420738042
2,0.03,0.48,0.19870624482682223
2,0.03,0.5,0.19987515189871002
2,0.03,0.52,0.19923665088426917
2,0.03,0.54,0.20010292611751562
2,0.03,0.56,0.19321151305550366
2,0.03,0.58,0.19395197954939486
2,0.03,0.6,0.19565690027688995
2,0.03,0.62,0.1931490998511471
2,0.03,0.64,0.193319793128458
2,0.03,0.66,0.18424149864355993
2,0.03,0.68,0.1809420861369863
2,0.04,0.1,0.2321786307741364
2,0.04,0.12,0.2268713429864215
2,0.04,0.14,0.22740558978046121
2,0.04,0.16,0.22453968350276332
2,0.04,0.18,0.22303798971927927
2,0.04,0.2,0.22513056564469586
2,0.04,0.22,0.22037236999980075
2,0.04,0.24,0.21780828457236234
2,0.04,0.26,0.2153292042705909
2,0.04,0.28,0.21334666300233535
2,0.04,0.3,0.2135972895687514
2,0.04,0.32,0.2135972895687514
2,0.04,0.34,0.21090292048273948
2,0.04,0.36,0.20742781282994804
2,0.04,0.38,0.2085987730173017
2,0.04,0.4,0.20966478528919955
2,0.04,0.42,0.20966478528919955
2,0.04,0.44,0.21041666498844766
2,0.04,0.46,0.20961183601460462
2,0.04,0.48,0.21041666498844766
