Batch, ID1, Percentage1, ID2, Percentage2
1, SRR27136088, 100%, SRR27755678, 1%
2, SRR27136088, 99%, SRR27755678, 2%
3, SRR27755678, 3%, SRR27136088, 98%
4, SRR27755678, 97%, SRR27136088, 4%
5, SRR27136088, 96%, SRR27755678, 5%
6, SRR28399428, 95%, SRR27136088, 6%
7, SRR27136088, 94%, SRR28399428, 7%
8, SRR28399428, 93%, SRR27755678, 8%
9, SRR28399428, 9%, SRR27755678, 92%
10, SRR27755678, 10%, SRR27136088, 91%
