Batch, ID1, Percentage1, ID2, Percentage2
1, SRR28375015, 100%, SRR27710531, 1%
2, SRR25480264, 2%, SRR28375015, 99%
3, SRR28375015, 3%, SRR25480264, 98%
4, SRR28375015, 97%, SRR27710531, 4%
5, SRR27710531, 96%, SRR28375015, 5%
6, SRR28375015, 6%, SRR27710531, 95%
7, SRR25480264, 7%, SRR27710531, 94%
8, SRR25480264, 8%, SRR28375015, 93%
9, SRR28375015, 92%, SRR25480264, 9%
10, SRR27710531, 10%, SRR25480264, 91%
