Batch, ID1, Percentage1, ID2, Percentage2
1, SRR28399430, 100%, SRR26899129, 1%
2, SRR26899129, 99%, SRR28399430, 2%
3, SRR26899125, 3%, SRR28399430, 98%
4, SRR26899129, 4%, SRR28399430, 97%
5, SRR26899129, 5%, SRR28399430, 96%
6, SRR26899129, 95%, SRR28399430, 6%
7, SRR26899125, 7%, SRR28399430, 94%
8, SRR26899125, 93%, SRR26899129, 8%
9, SRR28399430, 9%, SRR26899129, 92%
10, SRR26899129, 91%, SRR26899125, 10%
