Batch, ID1, Percentage1, ID2, Percentage2
1, SRR27710526, 1%, SRR27638397, 100%
2, SRR27710526, 99%, SRR26899121, 2%
3, SRR26899121, 98%, SRR27710526, 3%
4, SRR26899121, 97%, SRR27710526, 4%
5, SRR26899121, 96%, SRR27710526, 5%
6, SRR26899121, 6%, SRR27710526, 95%
7, SRR26899121, 94%, SRR27710526, 7%
8, SRR27638397, 93%, SRR27710526, 8%
9, SRR27638397, 9%, SRR27710526, 92%
10, SRR26899121, 10%, SRR27710526, 91%
