batch,mrd,np,average_f1
1,0.01,1.0,0.10968042764869024
1,0.01,1.1,0.11359244709860374
1,0.01,1.2,0.11714172672732616
1,0.01,1.3,0.12038740043101374
1,0.01,1.4,0.1219017165741846
1,0.01,1.5,0.12393691241857438
1,0.01,1.6,0.12581093616834746
1,0.01,1.7,0.12830896289174415
1,0.01,1.8,0.13005094771533812
1,0.01,1.9,0.13100303776528824
1,0.01,2.0,0.13170976244402016
1,0.01,2.1,0.133277758378687
1,0.01,2.2,0.13376387994174693
1,0.01,2.3,0.13483063540322152
1,0.01,2.4,0.13557321376655754
1,0.01,2.5,0.13653138741637416
1,0.01,2.6,0.1374262684064909
1,0.01,2.7,0.13849895779208557
1,0.01,2.8,0.1395117814734758
1,0.01,2.9,0.1400970119217158
1,0.01,3.0,0.14066716209110805
1,0.01,3.1,0.1410567698224204
1,0.01,3.2,0.14145282326789316
1,0.01,3.3,0.14192536694380012
1,0.01,3.4,0.14207223149300557
1,0.01,3.5,0.1425981735910649
1,0.01,3.6,0.14305047609350538
1,0.01,3.7,0.14351042731722016
1,0.01,3.8,0.14407676264746586
1,0.01,3.9,0.14450411008136269
1,0.02,1.0,0.12969642664148237
1,0.02,1.1,0.13035702983114913
1,0.02,1.2,0.1321532608010798
1,0.02,1.3,0.1331197318129125
1,0.02,1.4,0.13359963898367166
1,0.02,1.5,0.13439607863044964
1,0.02,1.6,0.13462020775497718
1,0.02,1.7,0.13476447594743815
1,0.02,1.8,0.13492070539389858
1,0.02,1.9,0.13492070539389858
1,0.02,2.0,0.13541321008808396
1,0.02,2.1,0.13636777708455156
1,0.02,2.2,0.13636777708455156
1,0.02,2.3,0.13666030390769063
1,0.02,2.4,0.13698871233131887
1,0.02,2.5,0.13698871233131887
1,0.02,2.6,0.1371513353445419
1,0.02,2.7,0.1371954255432907
1,0.02,2.8,0.13723988316036245
1,0.02,2.9,0.13728471280770255
1,0.02,3.0,0.1373299191747682
1,0.02,3.1,0.13778516905842927
1,0.02,3.2,0.13801254778115468
1,0.02,3.3,0.13827743388216404
1,0.02,3.4,0.13844592706576045
1,0.02,3.5,0.13935636403793095
1,0.02,3.6,0.1394035271752228
1,0.02,3.7,0.13952697786901574
1,0.02,3.8,0.13952697786901574
1,0.02,3.9,0.13952697786901574
1,0.03,1.0,0.11020355772490495
1,0.03,1.1,0.11038280216296126
1,0.03,1.2,0.11074576481339293
1,0.03,1.3,0.11166437749372131
1,0.03,1.4,0.11179502968296066
1,0.03,1.5,0.11214455078912637
1,0.03,1.6,0.11217167384643738
1,0.03,1.7,0.11238424899507392
1,0.03,1.8,0.11272385613778872
1,0.03,1.9,0.11275170244843102
1,0.03,2.0,0.11300356796104893
1,0.03,2.1,0.11314144402155478
1,0.03,2.2,0.11334152405356758
1,0.03,2.3,0.11432070007490173
1,0.03,2.4,0.11446023736256093
1,0.03,2.5,0.11466513860016439
1,0.03,2.6,0.11490468814351117
1,0.03,2.7,0.11523081291075207
1,0.03,2.8,0.11529093417534275
1,0.03,2.9,0.11532141231641997
1,0.03,3.0,0.11554187087021187
1,0.03,3.1,0.1156127325482164
1,0.03,3.2,0.1156127325482164
1,0.03,3.3,0.11598147637687166
1,0.03,3.4,0.11667779565264137
1,0.03,3.5,0.11667779565264137
1,0.03,3.6,0.11667779565264137
1,0.03,3.7,0.11667779565264137
1,0.03,3.8,0.11670884480344709
1,0.03,3.9,0.11678199234203243
1,0.04,1.0,0.10830054540125714
1,0.04,1.1,0.10881796250169525
1,0.04,1.2,0.1090558536253657
1,0.04,1.3,0.10911179376941156
1,0.04,1.4,0.10954449176858351
1,0.04,1.5,0.10960246597585868
1,0.04,1.6,0.11013405948889818
1,0.04,1.7,0.11144878640151035
1,0.04,1.8,0.11158626304747485
1,0.04,1.9,0.11172489148925693
1,0.04,2.0,0.11193645334465441
1,0.04,2.1,0.11199826415412875
1,0.04,2.2,0.11227867977889427
1,0.04,2.3,0.11231061600863072
1,0.04,2.4,0.11264321277277846
1,0.04,2.5,0.1133305387912494
1,0.04,2.6,0.1133305387912494
1,0.04,2.7,0.1133305387912494
1,0.04,2.8,0.11336277917555478
1,0.04,2.9,0.11336277917555478
1,0.04,3.0,0.11336277917555478
1,0.04,3.1,0.11371810245319584
1,0.04,3.2,0.11371810245319584
1,0.04,3.3,0.11371810245319584
1,0.04,3.4,0.11371810245319584
1,0.04,3.5,0.11371810245319584
1,0.04,3.6,0.11371810245319584
1,0.04,3.7,0.11383077740555396
1,0.04,3.8,0.11383077740555396
1,0.04,3.9,0.11383077740555396
1,0.05,1.0,0.11295810758547534
1,0.05,1.1,0.11333517323525577
1,0.05,1.2,0.11349319823535489
1,0.05,1.3,0.114751462831906
1,0.05,1.4,0.1148873670082796
1,0.05,1.5,0.1148873670082796
1,0.05,1.6,0.1152304176531411
1,0.05,1.7,0.11555747155162358
1,0.05,1.8,0.1158409182636417
1,0.05,1.9,0.11617895471278927
1,0.05,2.0,0.11677372814128636
1,0.05,2.1,0.11680027164609073
1,0.05,2.2,0.11680027164609073
1,0.05,2.3,0.11680027164609073
1,0.05,2.4,0.11711252769605171
1,0.05,2.5,0.11722709235036531
1,0.05,2.6,0.11722709235036531
1,0.05,2.7,0.11722709235036531
1,0.05,2.8,0.11722709235036531
1,0.05,2.9,0.11734261973286643
1,0.05,3.0,0.1174591220299878
1,0.05,3.1,0.1174591220299878
1,0.05,3.2,0.1175766116347119
1,0.05,3.3,0.11781460339812741
1,0.05,3.4,0.11781460339812741
1,0.05,3.5,0.11793513141565115
1,0.05,3.6,0.11793513141565115
1,0.05,3.7,0.11796193262438566
1,0.05,3.8,0.11796193262438566
1,0.05,3.9,0.11828477362519275
