batch,mrd,cor,average_f1
1,0.01,0.2,0.1414109649051875
1,0.01,0.23,0.14149718451612242
1,0.01,0.26,0.14044816413748698
1,0.01,0.29,0.13898311844090958
1,0.01,0.32,0.1387282664451133
1,0.01,0.35,0.13888632024721304
1,0.01,0.38,0.14192536694380012
1,0.01,0.41,0.1419004582986838
1,0.01,0.44,0.14162928569001204
1,0.01,0.47,0.14213095445176158
1,0.01,0.5,0.14224051793319872
1,0.01,0.53,0.1430618181625704
1,0.01,0.56,0.14211151033804229
1,0.01,0.59,0.14190253086357185
1,0.01,0.62,0.14170159901502843
1,0.01,0.65,0.14064553314883532
1,0.01,0.68,0.14256728845861216
1,0.01,0.71,0.14300739226818934
1,0.01,0.74,0.14199922071593124
1,0.01,0.77,0.1431641758507887
1,0.01,0.8,0.14278378260816812
1,0.01,0.83,0.1415015253224154
1,0.01,0.86,0.14134819751037833
1,0.01,0.89,0.140883705776672
1,0.01,0.92,0.14021752599653878
1,0.02,0.2,0.1114421486622342
1,0.02,0.23,0.11417429190105513
1,0.02,0.26,0.11367811413338438
1,0.02,0.29,0.12153648204026804
1,0.02,0.32,0.1309725445716273
1,0.02,0.35,0.13596764518422688
1,0.02,0.38,0.13670830713195653
1,0.02,0.41,0.13913730327872423
1,0.02,0.44,0.13891333911299072
1,0.02,0.47,0.1383620055674698
1,0.02,0.5,0.13709246544033063
1,0.02,0.53,0.1389132726373219
1,0.02,0.56,0.13964719794588287
1,0.02,0.59,0.14249588270738295
1,0.02,0.62,0.14284540795132175
1,0.02,0.65,0.14095265250133784
1,0.02,0.68,0.14708701735955368
1,0.02,0.71,0.14843542172972252
1,0.02,0.74,0.14677811976330848
1,0.02,0.77,0.14671034002888766
1,0.02,0.8,0.1491155618188112
1,0.02,0.83,0.15087943300131795
1,0.02,0.86,0.14869300013519715
1,0.02,0.89,0.14766474489912298
1,0.02,0.92,0.147946872321728
1,0.03,0.2,0.05373545841713083
1,0.03,0.23,0.06644198379560082
1,0.03,0.26,0.0764460319452658
1,0.03,0.29,0.0761152495310922
1,0.03,0.32,0.08325257254540432
1,0.03,0.35,0.08572665078666368
1,0.03,0.38,0.08805644166534932
1,0.03,0.41,0.08778224414465442
1,0.03,0.44,0.1017950320334828
1,0.03,0.47,0.11339349044666747
1,0.03,0.5,0.11605440255547031
1,0.03,0.53,0.11657425311772872
1,0.03,0.56,0.12095512165095457
1,0.03,0.59,0.12384515932271753
1,0.03,0.62,0.13147553816046964
1,0.03,0.65,0.13127823307800807
1,0.03,0.68,0.1384658090496232
1,0.03,0.71,0.13878843986931846
1,0.03,0.74,0.13803248145809086
1,0.03,0.77,0.1388838664243315
1,0.03,0.8,0.13793513017991965
1,0.03,0.83,0.142318869552962
1,0.03,0.86,0.14419785540425575
1,0.03,0.89,0.1449745522027655
1,0.03,0.92,0.1442602918201154
1,0.04,0.35,0.024736185029039903
1,0.04,0.38,0.03581554387356158
1,0.04,0.41,0.060957083041888196
1,0.04,0.44,0.0652512192436885
1,0.04,0.47,0.06831481681542814
1,0.04,0.5,0.0738911345091156
