tool,maf,batch,depth,precision,recall,f1score
Confindr,0.02,9,220,0.42592344035795077,0.9104412262872629,0.5639584670677233
Confindr,0.02,10,120,0.4599343910937703,0.9023105803974707,0.5980976264267028
Confindr,0.02,10,170,0.38218274402401364,0.908901874435411,0.5219192651177661
Confindr,0.02,10,220,0.4224965427740731,0.9104412262872629,0.5613881910807648
Confindr,0.03,1,120,0.10126502064969553,0.08846460027100268,0.08303543525804222
Confindr,0.03,1,170,0.13121339828130993,0.08241757000903341,0.08744139326443265
Confindr,0.03,1,220,0.15118175938083783,0.07423498193315262,0.08184584195443746
Confindr,0.03,2,120,0.22933570024736016,0.25019732384823845,0.2239555150492408
Confindr,0.03,2,170,0.281632540772568,0.25610066621499544,0.23653893773733586
Confindr,0.03,2,220,0.27500003695058517,0.2172464995483288,0.21302240023932448
Confindr,0.03,3,120,0.3632971612041159,0.4686952348690153,0.38863286596083757
Confindr,0.03,3,170,0.42780748455512335,0.4612881097560976,0.4105326632060958
Confindr,0.03,3,220,0.41429807878047387,0.4377458785004517,0.394910859017251
Confindr,0.03,4,120,0.4267545172507144,0.6119675925925925,0.48334019604708134
Confindr,0.03,4,170,0.5127050471731722,0.634438233965673,0.5384793032649665
Confindr,0.03,4,220,0.5524675702615474,0.7043292682926829,0.5948602137454533
Confindr,0.03,5,120,0.47325523729297825,0.7285755420054201,0.5552286390930066
Confindr,0.03,5,170,0.5611333940205121,0.7979496951219512,0.636297431926816
Confindr,0.03,5,220,0.5904636634247993,0.8273709914182475,0.6686347586562887
Confindr,0.03,6,120,0.5096978843396721,0.8411718044263775,0.6172755117868105
Confindr,0.03,6,170,0.5809441079846669,0.8574455171635049,0.6726626166173846
Confindr,0.03,6,220,0.5975347543323479,0.8687816169828364,0.6904131059775149
Confindr,0.03,7,120,0.5200009326171078,0.8689261517615176,0.6351574256616506
Confindr,0.03,7,170,0.5856959444166395,0.881414295392954,0.6848871757142196
Confindr,0.03,7,220,0.6016041046476654,0.8907029132791328,0.7024579502041314
Confindr,0.03,8,120,0.5261875452089255,0.8928726287262873,0.6480577131152175
Confindr,0.03,8,170,0.5854266241084899,0.8913965108401085,0.6876795758688102
Confindr,0.03,8,220,0.6046272087514503,0.9020215108401084,0.7083619293772865
Confindr,0.03,9,120,0.523754446177548,0.8946838301716351,0.6474957724005364
Confindr,0.03,9,170,0.580434302711559,0.90100299232159,0.6890195537356835
Confindr,0.03,9,220,0.5984956747569044,0.9046891937669377,0.7053617524901616
Confindr,0.03,10,120,0.5225811105525755,0.9001637308039747,0.6484688659231234
Confindr,0.03,10,170,0.5729905730792615,0.9056498419150858,0.6861017389061435
Confindr,0.03,10,220,0.5970780658310512,0.9088152100271003,0.7057706906186578
Confindr,0.04,1,120,0.13415153142596747,0.0280084123757904,0.03371764325564214
Confindr,0.04,1,170,0.13193766937669374,0.039819613821138175,0.049196069793210215
Confindr,0.04,1,220,0.1398371998371998,0.01892897470641372,0.028663193409467658
Confindr,0.04,2,120,0.24646873044319279,0.1467561540198735,0.16409146272765432
Confindr,0.04,2,170,0.24864016092884245,0.12535597335140014,0.148725740402069
Confindr,0.04,2,220,0.23534410232191263,0.125771793134598,0.13820202373452914
Confindr,0.04,3,120,0.41064445301287406,0.29270296973803067,0.3068118479327271
Confindr,0.04,3,170,0.3875344453468947,0.24872092366756998,0.27407258541753454
Confindr,0.04,3,220,0.4032465328507223,0.2670884146341463,0.29814182531888184
Confindr,0.04,4,120,0.4900628412137589,0.426582825203252,0.42921541941687724
Confindr,0.04,4,170,0.5440671034061103,0.4286314363143632,0.44523033822829533
Confindr,0.04,4,220,0.5388904189029345,0.4485216237579042,0.46042797451649475
Confindr,0.04,5,120,0.558960211362798,0.5698170731707317,0.5395477841884321
Confindr,0.04,5,170,0.6331275391868638,0.598213640469738,0.5884355246982361
Confindr,0.04,5,220,0.6428966616746793,0.6526216689250226,0.6230151922637567
Confindr,0.04,6,120,0.6124911061752376,0.6978060072267389,0.6298192337876896
Confindr,0.04,6,170,0.6786525089624712,0.7766485998193315,0.7074892172838945
Confindr,0.04,6,220,0.6859461588155888,0.796752201897019,0.7212407445407902
Confindr,0.04,7,120,0.6473668097827059,0.8121395099367661,0.7024348512333274
Confindr,0.04,7,170,0.6949956318471869,0.8383720076784101,0.7460986608291557
Confindr,0.04,7,220,0.7043599357042665,0.8453458107497742,0.7576582878928492
Confindr,0.04,8,120,0.6635536482980084,0.8594190379403793,0.7351712523750279
Confindr,0.04,8,170,0.7040544317046027,0.868133751129178,0.7651341550009769
Confindr,0.04,8,220,0.7107062940056075,0.8803850496838301,0.7766293206892315
Confindr,0.04,9,120,0.6618338690016687,0.8712991192411923,0.7396690713665492
Confindr,0.04,9,170,0.7055326901083678,0.881409214092141,0.7726010012470497
Confindr,0.04,9,220,0.7141140932147267,0.8967903116531165,0.7857917545837244
Confindr,0.04,10,120,0.665090218846743,0.885366982836495,0.7479599849989536
Confindr,0.04,10,170,0.696165246547278,0.8948746612466124,0.7733272438741878
Confindr,0.04,10,220,0.7200744095667406,0.9068360433604337,0.7924284732065963
Confindr,0.05,1,120,0.11191919191919193,0.007314532520325201,0.01107746853922958
Confindr,0.05,1,170,0.11365079365079363,0.0098145325203252,0.01623667623667622
Confindr,0.05,1,220,0.11416524216524213,0.0098145325203252,0.016209057304947698
Confindr,0.05,2,120,0.22654719421215389,0.08782802619692857,0.11365048279592016
Confindr,0.05,2,170,0.21057309022547827,0.06266627145438117,0.08218714108882033
Confindr,0.05,2,220,0.22798062888580128,0.08073255420054196,0.09945316350545104
Confindr,0.05,3,120,0.3470562827713857,0.21076530036133692,0.23972022622033523
Confindr,0.05,3,170,0.3439537534301298,0.15692299006323393,0.19250963849011854
Confindr,0.05,3,220,0.29687379683584614,0.16846177732610657,0.19995629316265023
Confindr,0.05,4,120,0.4857947114560206,0.29471572944896113,0.3379725378998709
Confindr,0.05,4,170,0.5097458961229797,0.3048831300813008,0.34858317572045033
Confindr,0.05,4,220,0.4716515493283979,0.2761850722673893,0.32375672691259366
Confindr,0.05,5,120,0.592347942361557,0.4339958785004517,0.47779055199217285
Confindr,0.05,5,170,0.5994228041590677,0.42671635049683826,0.46900378446802693
Confindr,0.05,5,220,0.5953947939453892,0.4211777326106594,0.46110605334407284
Confindr,0.05,6,120,0.6354546560797134,0.5279996612466125,0.5520176322039234
Confindr,0.05,6,170,0.6959622120801608,0.6048269534778681,0.6232621547640591
Confindr,0.05,6,220,0.6887899585511243,0.5958813233965673,0.6190477123331728
Confindr,0.05,7,120,0.6971489895308335,0.6681368563685637,0.6655331161664828
Confindr,0.05,7,170,0.7264247376094132,0.7396406391147246,0.7170511753527598
Confindr,0.05,7,220,0.7260529840556108,0.7324144647696478,0.7157134157826281
Confindr,0.05,8,120,0.7316404727220478,0.7898023938572718,0.7476419599676747
Confindr,0.05,8,170,0.7519945450867589,0.8219890469738032,0.7742213447869897
Confindr,0.05,8,220,0.7595583295381161,0.8365726626016261,0.7879007989336824
Confindr,0.05,9,120,0.7422927744368583,0.8403915424570914,0.7773002656857367
Confindr,0.05,9,170,0.7666266268021936,0.8531233062330623,0.7980366198220101
Confindr,0.05,9,220,0.7739772180639989,0.8824446702800361,0.8175531647756739
Confindr,0.05,10,120,0.7454805035564604,0.865170788166215,0.7922184882309171
Confindr,0.05,10,170,0.7665333506436321,0.8795110659439928,0.8115136971286596
Confindr,0.05,10,220,0.7818123347349545,0.8967903116531165,0.828519787431599
NanoMGT,0.01,1,120,0.08636587956101094,0.13780544263775968,0.10107675747389189
NanoMGT,0.01,1,170,0.12291791568278247,0.21051829268292682,0.14704725263902568
NanoMGT,0.01,1,220,0.12303627846082554,0.19367293360433604,0.14083878673710729
NanoMGT,0.01,2,120,0.1928898268413547,0.3545260275519422,0.23880976654644784
NanoMGT,0.01,2,170,0.21275512787098144,0.39005730578139114,0.26159833638417024
NanoMGT,0.01,2,220,0.22168909084088845,0.35131492773261064,0.25796608851599556
NanoMGT,0.01,3,120,0.2513403410449889,0.4904609869015357,0.31924783433702353
NanoMGT,0.01,3,170,0.2672661695142783,0.5501064250225836,0.3437508786313189
NanoMGT,0.01,3,220,0.29171251506315576,0.5192838188798554,0.35677863018809175
NanoMGT,0.01,4,120,0.29589888516374324,0.5872752935862692,0.3809897697127758
NanoMGT,0.01,4,170,0.32151589126435565,0.6630657181571816,0.4176207152502938
NanoMGT,0.01,4,220,0.35664384927777626,0.6771866531165311,0.45543486033159464
NanoMGT,0.01,5,120,0.32398269843397864,0.691400462962963,0.4274803228412072
NanoMGT,0.01,5,170,0.3544332792697264,0.7760394083107498,0.46959126711410615
NanoMGT,0.01,5,220,0.394028728962744,0.7339851513098464,0.49853697401160535
NanoMGT,0.01,6,120,0.3482552020993806,0.7557322719060524,0.4631790453916468
NanoMGT,0.01,6,170,0.3568565527185678,0.8134163279132792,0.47841285391469074
