tool,specie,maf,batch,precision,recall,f1score
Confindr,campylobacter,0.05,6,0.7013241282770722,0.41927083333333326,0.5237099683563048
Confindr,campylobacter,0.05,7,0.7620974334373694,0.5694444444444444,0.6507218829518645
Confindr,campylobacter,0.05,8,0.7983719603152025,0.681423611111111,0.733823709586067
Confindr,campylobacter,0.05,9,0.8145439125558261,0.7456597222222222,0.7780420988656914
Confindr,campylobacter,0.05,10,0.8222359496527766,0.7873263888888888,0.8042961540465688
Confindr,ecoli,0.01,1,0.056382049025840035,0.18157181571815717,0.08401873984578069
Confindr,ecoli,0.01,2,0.16457478042314078,0.4742547425474255,0.23460411162502623
Confindr,ecoli,0.01,3,0.23332489229747014,0.6639566395663956,0.33287140153512723
Confindr,ecoli,0.01,4,0.2805914823782342,0.7940379403794039,0.40301696476747395
Confindr,ecoli,0.01,5,0.29623250338411383,0.83739837398374,0.4262385455760455
Confindr,ecoli,0.01,6,0.30640978463144225,0.8834688346883469,0.44490990988042256
Confindr,ecoli,0.01,7,0.3073565347864266,0.8997289972899729,0.44903438912710997
Confindr,ecoli,0.01,8,0.31399617946745567,0.907859078590786,0.4567113317705715
Confindr,ecoli,0.01,9,0.313377733603407,0.9186991869918698,0.4578602706051542
Confindr,ecoli,0.01,10,0.3151236041308433,0.924119241192412,0.46169688410306575
Confindr,ecoli,0.02,1,0.0507515602451758,0.14363143631436312,0.0737397135647863
Confindr,ecoli,0.02,2,0.16276173212296893,0.4173441734417344,0.22539634598910807
Confindr,ecoli,0.02,3,0.2525908889505039,0.6314363143631436,0.3508075481008262
Confindr,ecoli,0.02,4,0.30410945691507496,0.7696476964769648,0.4269751998550462
Confindr,ecoli,0.02,5,0.3239328087809114,0.8319783197831979,0.45794615574951864
Confindr,ecoli,0.02,6,0.33699197097193706,0.880758807588076,0.4804711326629212
Confindr,ecoli,0.02,7,0.34158367958482,0.897018970189702,0.4889181140164283
Confindr,ecoli,0.02,8,0.3468775026892301,0.905149051490515,0.49532870487553193
Confindr,ecoli,0.02,9,0.3477400567704905,0.910569105691057,0.4978472220314443
Confindr,ecoli,0.02,10,0.34910626095842784,0.9159891598915989,0.500941525354354
Confindr,ecoli,0.03,1,0.0420586827236443,0.08401084010840103,0.05568730786122087
Confindr,ecoli,0.03,2,0.14585331980724195,0.2791327913279133,0.18470014108519597
Confindr,ecoli,0.03,3,0.2945405578119357,0.4878048780487805,0.3528060524550938
Confindr,ecoli,0.03,4,0.3911606054190015,0.6639566395663956,0.48108494137927593
Confindr,ecoli,0.03,5,0.42489821909842457,0.7479674796747968,0.5331822576391024
Confindr,ecoli,0.03,6,0.45405613731839756,0.8292682926829268,0.5796200698358835
Confindr,ecoli,0.03,7,0.4608331268479362,0.856368563685637,0.593915537768606
Confindr,ecoli,0.03,8,0.4693225800789917,0.8861788617886179,0.6089477800771687
Confindr,ecoli,0.03,9,0.47184494568952623,0.8915989159891599,0.6125572357407854
Confindr,ecoli,0.03,10,0.47574472149990327,0.905149051490515,0.6204584924078076
Confindr,ecoli,0.04,1,0.04209944140257724,0.043360433604336,0.042556934341273195
Confindr,ecoli,0.04,2,0.1338484134719514,0.18428184281842816,0.15382797352475644
Confindr,ecoli,0.04,3,0.2892204838281026,0.34146341463414637,0.2915629047849336
Confindr,ecoli,0.04,4,0.4356727725600274,0.49322493224932246,0.44144628571400063
Confindr,ecoli,0.04,5,0.4985425341504968,0.5853658536585367,0.5212645193676538
Confindr,ecoli,0.04,6,0.5666327161075136,0.7181571815718159,0.6227134822171555
Confindr,ecoli,0.04,7,0.5890530407142988,0.7615176151761518,0.653988950243009
Confindr,ecoli,0.04,8,0.6154799683379946,0.8157181571815718,0.6931463220314126
Confindr,ecoli,0.04,9,0.6258772612260756,0.8482384823848239,0.7132809700732402
Confindr,ecoli,0.04,10,0.6329383824805374,0.8861788617886179,0.733193711324191
Confindr,ecoli,0.05,1,0.024882154882154835,0.016260162601626,0.019577619577619568
Confindr,ecoli,0.05,2,0.1167616659066727,0.11111111111111106,0.11362335880854396
Confindr,ecoli,0.05,3,0.24414243880188147,0.2520325203252032,0.2327034241926751
Confindr,ecoli,0.05,4,0.46547668503377443,0.39295392953929537,0.3905334126822377
Confindr,ecoli,0.05,5,0.5467255018662842,0.49051490514905144,0.4868321948712606
Confindr,ecoli,0.05,6,0.6185004174057007,0.5853658536585366,0.5800847690437217
Confindr,ecoli,0.05,7,0.6525932115061739,0.6476964769647696,0.6338712931201159
Confindr,ecoli,0.05,8,0.6950501938978827,0.7425474254742547,0.7087158234098977
Confindr,ecoli,0.05,9,0.7238187727926914,0.7994579945799458,0.7511535429525087
Confindr,ecoli,0.05,10,0.7372408147932822,0.8455284552845529,0.7823253613092556
Confindr,klebsiella,0.01,1,0.06142738987234076,0.1555555555555555,0.08317063053905153
Confindr,klebsiella,0.01,2,0.13178496640477894,0.43333333333333335,0.19246944487908343
Confindr,klebsiella,0.01,3,0.2338480258539809,0.7333333333333334,0.33855460319911906
Confindr,klebsiella,0.01,4,0.28220673245824146,0.888888888888889,0.4132440232602681
Confindr,klebsiella,0.01,5,0.2894805439417099,0.9222222222222222,0.4260160342972592
Confindr,klebsiella,0.01,6,0.3142926219149516,1.0,0.4656346225484247
Confindr,klebsiella,0.01,7,0.30981949243060275,1.0,0.46166193840612446
Confindr,klebsiella,0.01,8,0.30971599358676455,1.0,0.46130852013204954
Confindr,klebsiella,0.01,9,0.31436104480896515,1.0,0.46674199983023507
Confindr,klebsiella,0.01,10,0.30896634969777387,1.0,0.4614209320091673
Confindr,klebsiella,0.02,1,0.07242238048689657,0.1444444444444444,0.08823258119032763
Confindr,klebsiella,0.02,2,0.1437430348483479,0.3333333333333333,0.18216940009628
Confindr,klebsiella,0.02,3,0.25865115153663754,0.6222222222222222,0.3380927825310083
Confindr,klebsiella,0.02,4,0.35098829811480714,0.888888888888889,0.4837740568170017
Confindr,klebsiella,0.02,5,0.3568855353668581,0.9222222222222222,0.4967280563402355
Confindr,klebsiella,0.02,6,0.380135950765611,1.0,0.5347659012232587
Confindr,klebsiella,0.02,7,0.3785825683805857,1.0,0.5340255101163861
Confindr,klebsiella,0.02,8,0.3735843475321163,1.0,0.5303858223626019
Confindr,klebsiella,0.02,9,0.3758821416497633,1.0,0.5334359977476866
Confindr,klebsiella,0.02,10,0.37155696315179076,1.0,0.5296027501909855
Confindr,klebsiella,0.03,1,0.05500541125541123,0.09999999999999998,0.0678382433169667
